Nombre,Posicion,Equipo,Estado,% Titular,% Jugado,Forma Jugado,Promedio Picas,Promedio Sofas,Promedio Media,Total Puntos Medias,Forma Puntos Medias,Valor [En miles],Comparativo
Narvaez,MC,Real Valladolid,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1650.0,0.0
Cenk Özkacar,DF,Valencia,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,410.0,0.0
Saveljich,DF,Rayo Vallecano,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,440.0,0.0
Ferran Torres,DL,Barcelona,Disponible,33%,67%,2,1.0,2.5,2.0,4.0,4.0,3220.0,0.621
Pjanic,MC,Barcelona,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,510.0,0.0
Beñat Turrientes,MC,Real Sociedad,Disponible,0%,33%,1,2.0,3.0,3.0,3.0,3.0,150.0,20.0
Canales,MC,Betis,Disponible,0%,33%,1,2.0,3.0,3.0,3.0,3.0,9870.0,0.304
Gorosabel,DF,Real Sociedad,Disponible,33%,67%,2,2.0,3.5,3.0,6.0,6.0,1680.0,1.786
Kike Saverio,DL,Osasuna,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Luis Milla,MC,Getafe,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,3770.0,0.0
Willian José,DL,Betis,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0
Joan Garcia,PT,Espanyol,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Carvajal,DF,Real Madrid,Disponible,33%,67%,2,1.0,2.5,2.0,4.0,4.0,3720.0,0.538
Luiz Felipe,DF,Betis,Disponible,0%,33%,1,2.0,2.0,2.0,2.0,2.0,3030.0,0.66
Embarba,MC,Almería,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1620.0,0.0
Diego Conde,PT,Getafe,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Pablo Torre,MC,Barcelona,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,490.0,0.0
Cavani,DL,Valencia,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,7780.0,0.0
Juanjo Nieto,DF,Almería,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Mariano,DL,Real Madrid,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,470.0,0.0
Dani Martín,PT,Betis,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Álvaro Fernández,PT,Espanyol,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,2050.0,0.0
Rubén Iranzo,DF,Valencia,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Marcos André,DL,Valencia,Disponible,33%,67%,2,2.0,3.5,3.0,6.0,6.0,1790.0,1.676
Masip,PT,Real Valladolid,Disponible,33%,33%,1,6.0,3.0,5.0,5.0,5.0,1120.0,4.464
Mario Hernández,DF,Rayo Vallecano,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Jon Karrikaburu,DL,Real Sociedad,Disponible,0%,33%,1,2.0,3.0,3.0,3.0,3.0,770.0,3.896
Nico Fernández,DF,Elche,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,630.0,0.0
Domingos Quina,MC,Elche,Disponible,0%,67%,2,2.0,4.0,3.0,6.0,6.0,520.0,5.769
Balenziaga,DF,Athletic,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,190.0,0.0
Aridane Hernández,DF,Osasuna,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1340.0,0.0
Bravo,PT,Betis,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,810.0,0.0
Fuidias,PT,Girona,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
