Nombre,Posicion,Equipo,Estado,% Titular,% Jugado,Forma Jugado,Promedio Picas,Promedio Sofas,Promedio Media,Total Puntos Medias,Forma Puntos Medias,Valor [En miles],Comparativo
Aitor Fernández,PT,Osasuna,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,710.0,0.0
De Tomás,DL,Espanyol,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,6170.0,0.0
Guardiola,DL,Real Valladolid,Disponible,67%,67%,2,0.0,2.5,1.5,3.0,3.0,1200.0,1.25
Malsa,MC,Real Valladolid,Disponible en observación,0%,0%,0,0.0,0.0,0.0,0.0,0.0,270.0,0.0
Grbic,PT,Atlético,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,170.0,0.0
Ilaix Moriba,MC,Valencia,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,910.0,0.0
Januzaj,MC,Sevilla,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,2770.0,0.0
Jesús Vallejo,DF,Real Madrid,Duda próximo partido,0%,0%,0,0.0,0.0,0.0,0.0,0.0,200.0,0.0
Kenedy,MC,Real Valladolid,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1710.0,0.0
Leo Román,PT,Mallorca,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,160.0,0.0
Jaume Doménech,PT,Valencia,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,170.0,0.0
Martin Svidersky,DF,Almería,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Juan Pérez,PT,Osasuna,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Jordan Amavi,DF,Getafe,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0
Dolberg,DL,Sevilla,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,3090.0,0.0
Pep Chavarría,DF,Rayo Vallecano,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0
Jordán,MC,Sevilla,Disponible,67%,67%,2,2.0,3.5,3.0,6.0,6.0,2650.0,1.132
Umar Sadiq,DL,Real Sociedad,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,7160.0,0.0
Gastón Álvarez,DF,Getafe,Disponible,33%,33%,1,2.0,4.0,3.0,3.0,3.0,220.0,13.636
Weissman,DL,Real Valladolid,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1760.0,0.0
Koundé,DF,Barcelona,Disponible,33%,33%,1,6.0,10.0,8.0,8.0,8.0,7420.0,1.078
Robert Navarro,MC,Real Sociedad,Disponible,0%,33%,1,2.0,2.0,2.0,2.0,2.0,150.0,13.333
Alexander Sørloth,DL,Real Sociedad,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,3050.0,0.0
Damián Suárez,DF,Getafe,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1540.0,0.0
Dani García,MC,Athletic,Disponible,0%,33%,1,0.0,0.0,0.0,0.0,0.0,640.0,0.0
Jon Pacheco,DF,Real Sociedad,Disponible,0%,33%,1,0.0,2.0,1.0,1.0,1.0,150.0,6.667
Memphis Depay,DL,Barcelona,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1490.0,0.0
Strand Larsen,DL,Celta,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,5110.0,0.0
José Carlos Lazo,DL,Espanyol,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,260.0,0.0
Oyarzabal,DL,Real Sociedad,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,2430.0,0.0
André Almeida,MC,Valencia,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1990.0,0.0
Víctor Ruiz,DF,Betis,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,180.0,0.0
Werner,PT,Elche,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,180.0,0.0
Luiz Henrique,DL,Betis,Disponible,0%,33%,1,2.0,2.0,2.0,2.0,2.0,3250.0,0.615
Trigueros,MC,Villarreal,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1830.0,0.0
Óliver Torres,MC,Sevilla,Disponible,67%,67%,2,6.0,7.0,6.5,13.0,13.0,1350.0,4.815
Braithwaite,DL,Espanyol,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1030.0,0.0
Raúl Guti,MC,Elche,Disponible,0%,33%,1,6.0,4.0,5.0,5.0,5.0,980.0,5.102
Manu Vallejo,DL,Girona,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,270.0,0.0
Oriol Romeu,MC,Girona,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,2990.0,0.0
Andrés Martín,DL,Rayo Vallecano,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Vencedor,MC,Athletic,Disponible,0%,33%,1,2.0,2.0,2.0,2.0,2.0,1400.0,1.429
Franco Russo,DF,Mallorca,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,180.0,0.0
Omar Alderete,DF,Getafe,Duda próximo partido,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1460.0,0.0
Ángel,DL,Mallorca,Duda próximo partido,0%,0%,0,0.0,0.0,0.0,0.0,0.0,640.0,0.0
Aleix Vidal,DF,Espanyol,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,250.0,0.0
Merquelanz,DL,Real Sociedad,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Capa,DF,Athletic,Disponible,0%,33%,1,0.0,0.0,0.0,0.0,0.0,320.0,0.0
Dmitrovic,PT,Sevilla,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,250.0,0.0
Felipe,DF,Atlético,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,260.0,0.0
Mojica,DF,Villarreal,Disponible,0%,0%,0,0.0,0.0,0.0,0.0,0.0,4200.0,0.0
Morcillo,MC,Athletic,Disponible,0%,67%,2,0.0,0.5,0.5,1.0,1.0,150.0,3.333
Diego López,PT,Rayo Vallecano,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,1670.0,0.0
Tanguy Nianzou,DF,Sevilla,Disponible,67%,67%,2,2.0,4.0,3.0,6.0,6.0,2770.0,1.083
Randy Nteka,DL,Rayo Vallecano,Disponible,0%,67%,2,0.0,4.0,2.0,4.0,4.0,390.0,5.128
Iván Martín,MC,Girona,Lesionado,0%,0%,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Antonio Blanco,MC,Cádiz CF,Disponible,33%,33%,1,-2.0,1.0,0.0,0.0,0.0,1050.0,0.0
